Start time:2019.4.25 12:45:55
train_per_round time rate accuracy
1 0.60639 1688.69470 0.00097656
2 0.38370 2668.76636 0.63867188
3 0.78653 1301.91724 0.94824219
4 0.87306 1172.89209 0.97949219
5 0.97557 1049.63940 0.97265625
6 1.07089 956.21008 0.95507812
7 1.13910 898.95148 0.96386719
8 1.19347 857.99902 0.96972656
9 1.24963 819.44098 0.96386719
10 1.32218 774.48065 0.96386719
11 1.37690 743.70215 0.96191406
12 1.45938 701.66760 0.96777344
13 1.52443 671.72699 0.96386719
14 1.58161 647.44122 0.96875000
15 1.65842 617.45526 0.95703125
16 1.74993 585.16779 0.97851562
17 1.83196 558.96295 0.97070312
